WBS2;WBS3;ACTIVIDAD;Area;Codigo WBS3;2025-02-17T00:00:00Z/2025-02-23T23:59:59Z;2025-02-24T00:00:00Z/2025-03-02T23:59:59Z;2025-03-03T00:00:00Z/2025-03-09T23:59:59Z;2025-03-10T00:00:00Z/2025-03-16T23:59:59Z;2025-03-17T00:00:00Z/2025-03-23T23:59:59Z;2025-03-24T00:00:00Z/2025-03-30T23:59:59Z;2025-03-31T00:00:00Z/2025-04-06T23:59:59Z;2025-04-07T00:00:00Z/2025-04-13T23:59:59Z;2025-04-14T00:00:00Z/2025-04-20T23:59:59Z;2025-04-21T00:00:00Z/2025-04-27T23:59:59Z;2025-04-28T00:00:00Z/2025-05-04T23:59:59Z;2025-05-05T00:00:00Z/2025-05-11T23:59:59Z;2025-05-12T00:00:00Z/2025-05-18T23:59:59Z;2025-05-19T00:00:00Z/2025-05-25T23:59:59Z;2025-05-26T00:00:00Z/2025-06-01T23:59:59Z;2025-06-02T00:00:00Z/2025-06-08T23:59:59Z;2025-06-09T00:00:00Z/2025-06-15T23:59:59Z;2025-06-16T00:00:00Z/2025-06-22T23:59:59Z;2025-06-23T00:00:00Z/2025-06-29T23:59:59Z;2025-06-30T00:00:00Z/2025-07-06T23:59:59Z;2025-07-07T00:00:00Z/2025-07-13T23:59:59Z;2025-07-14T00:00:00Z/2025-07-20T23:59:59Z;2025-07-21T00:00:00Z/2025-07-27T23:59:59Z;2025-07-28T00:00:00Z/2025-08-03T23:59:59Z;2025-08-04T00:00:00Z/2025-08-10T23:59:59Z;2025-08-11T00:00:00Z/2025-08-17T23:59:59Z;2025-08-18T00:00:00Z/2025-08-24T23:59:59Z;2025-08-25T00:00:00Z/2025-08-31T23:59:59Z;2025-09-01T00:00:00Z/2025-09-07T23:59:59Z;2025-09-08T00:00:00Z/2025-09-14T23:59:59Z;2025-09-15T00:00:00Z/2025-09-21T23:59:59Z;2025-09-22T00:00:00Z/2025-09-28T23:59:59Z;2025-09-29T00:00:00Z/2025-10-05T23:59:59Z;2025-10-06T00:00:00Z/2025-10-12T23:59:59Z;2025-10-13T00:00:00Z/2025-10-19T23:59:59Z;2025-10-20T00:00:00Z/2025-10-26T23:59:59Z;2025-10-27T00:00:00Z/2025-11-02T23:59:59Z;2025-11-03T00:00:00Z/2025-11-09T23:59:59Z;2025-11-10T00:00:00Z/2025-11-16T23:59:59Z;2025-11-17T00:00:00Z/2025-11-23T23:59:59Z;2025-11-24T00:00:00Z/2025-11-30T23:59:59Z;2025-12-01T00:00:00Z/2025-12-07T23:59:59Z;2025-12-08T00:00:00Z/2025-12-14T23:59:59Z;2025-12-15T00:00:00Z/2025-12-21T23:59:59Z;2025-12-22T00:00:00Z/2025-12-28T23:59:59Z;2025-12-29T00:00:00Z/2026-01-04T23:59:59Z;2026-01-05T00:00:00Z/2026-01-11T23:59:59Z;2026-01-12T00:00:00Z/2026-01-18T23:59:59Z;2026-01-19T00:00:00Z/2026-01-25T23:59:59Z;2026-01-26T00:00:00Z/2026-02-01T23:59:59Z;2026-02-02T00:00:00Z/2026-02-08T23:59:59Z;2026-02-09T00:00:00Z/2026-02-15T23:59:59Z;2026-02-16T00:00:00Z/2026-02-22T23:59:59Z;2026-02-23T00:00:00Z/2026-03-01T23:59:59Z;2026-03-02T00:00:00Z/2026-03-08T23:59:59Z;2026-03-09T00:00:00Z/2026-03-15T23:59:59Z;2026-03-16T00:00:00Z/2026-03-22T23:59:59Z;2026-03-23T00:00:00Z/2026-03-29T23:59:59Z;2026-03-30T00:00:00Z/2026-04-05T23:59:59Z;2026-04-06T00:00:00Z/2026-04-12T23:59:59Z;2026-04-13T00:00:00Z/2026-04-19T23:59:59Z;2026-04-20T00:00:00Z/2026-04-26T23:59:59Z;2026-04-27T00:00:00Z/2026-05-03T23:59:59Z;2026-05-04T00:00:00Z/2026-05-10T23:59:59Z;2026-05-11T00:00:00Z/2026-05-17T23:59:59Z;2026-05-18T00:00:00Z/2026-05-24T23:59:59Z;2026-05-25T00:00:00Z/2026-05-31T23:59:59Z;2026-06-01T00:00:00Z/2026-06-07T23:59:59Z;2026-06-08T00:00:00Z/2026-06-14T23:59:59Z;2026-06-15T00:00:00Z/2026-06-21T23:59:59Z
Obra Civil;Zanjeo;Obra Civil - Zanjeo en U/G;U/G;C4001;0;0;0;0;0;0;0;0;0;0;0;757;757;757;757;757;757;757;757;568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obra Civil;Cerco Perimetral;Obra Civil - Cerco Perimetral en Terminaci—n;Terminaci—n;C4002;0;0;0;0;0;0;0;0;0;0;0;2.303;2.303;2.303;2.303;2.303;2.303;2.303;2.303;2.303;2.303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obra Civil;Cerco Perimetral;Obra Civil - Cerco Perimetral en Terminaci—n;Terminaci—n;C4003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;766;0;0;0;0;0;0;0;0;0;0
Obra Civil;Cerco Perimetral;Obra Civil - Cerco Perimetral en Terminaci—n;Terminaci—n;C4004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319;0;0;0;0;0;0;0;0;0;0
Obra Civil;Hormig—n Estructural en Sitio;Obra Civil - Hormig—n Estructural en Sitio en Area 2;Area 2;C4005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.318;3.318;1.659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obra Civil;Hormig—n Estructural en Sitio;Obra Civil - Hormig—n Estructural en Sitio en Area 2;Area 2;C4005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;962;962;641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obra Civil;Hormig—n Estructural en Sitio;Obra Civil - Hormig—n Estructural en Sitio en Area 2;Area 2;C4005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.045;5.045;5.045;2.018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obra Civil;Hormig—n Estructural en Sitio;Obra Civil - Hormig—n Estructural en Sitio en Area 2;Area 2;C4005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.682;1.682;1.682;673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obra Civil;Hormig—n Estructural en Sitio;Obra Civil - Hormig—n Estructural en Sitio en Area 2;Area 2;C4005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.334;3.334;3.334;1.434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Obra Civil;Hormig—n Estructural en Sitio;Obra Civil - Hormig—n Estructural en Sitio en Area 4;Area 4;C4005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.000;5.000;3.333;1.333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
